ID,카테고리,아이템,원본 크기 XYZ(m),조정 크기 XYZ(m),축소 배율,비고,프리팹,원본 에셋,패키지
food_f8d5f1161c,음식·음료,아보카도 001,0.098 × 0.161 × 0.098,0.098 × 0.161 × 0.098,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_f8d5f1161c.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Avocado_001.prefab,Food FREE - Low Poly 3D Models Pack
food_7360d9d90a,음식·음료,아보카도 003,0.097 × 0.071 × 0.140,0.097 × 0.071 × 0.140,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_7360d9d90a.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Avocado_003.prefab,Food FREE - Low Poly 3D Models Pack
food_091dad0400,음식·음료,바 001,0.107 × 0.018 × 0.041,0.107 × 0.018 × 0.041,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_091dad0400.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Bar_001.prefab,Food FREE - Low Poly 3D Models Pack
food_a6eff41fa4,음식·음료,햄버거 001,0.140 × 0.089 × 0.140,0.140 × 0.089 × 0.140,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_a6eff41fa4.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Burger_001.prefab,Food FREE - Low Poly 3D Models Pack
food_69bdb8848c,음식·음료,캔 009,0.078 × 0.116 × 0.078,0.078 × 0.116 × 0.078,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_69bdb8848c.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Can_009.prefab,Food FREE - Low Poly 3D Models Pack
food_6c682a09d8,음식·음료,치즈케이크 001,0.088 × 0.120 × 0.144,0.088 × 0.120 × 0.144,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_6c682a09d8.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Cheesecake_001.prefab,Food FREE - Low Poly 3D Models Pack
food_06e2653feb,음식·음료,고추 002,0.079 × 0.034 × 0.222,0.079 × 0.034 × 0.222,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_06e2653feb.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Chili_002.prefab,Food FREE - Low Poly 3D Models Pack
food_aa2088074d,음식·음료,감자칩 008,0.159 × 0.232 × 0.086,0.159 × 0.232 × 0.086,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_aa2088074d.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Chips_008.prefab,Food FREE - Low Poly 3D Models Pack
food_cffabbf975,음식·음료,커피 005,0.116 × 0.150 × 0.116,0.116 × 0.150 × 0.116,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_cffabbf975.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Coffee_005.prefab,Food FREE - Low Poly 3D Models Pack
food_1764cfbfc0,음식·음료,쿠키 006,0.054 × 0.030 × 0.054,0.054 × 0.030 × 0.054,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_1764cfbfc0.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Cookie_006.prefab,Food FREE - Low Poly 3D Models Pack
food_a21251f4bf,음식·음료,쿠키 011,0.054 × 0.030 × 0.054,0.054 × 0.030 × 0.054,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_a21251f4bf.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Cookie_011.prefab,Food FREE - Low Poly 3D Models Pack
food_e9b420218e,음식·음료,쿠키 012,0.054 × 0.030 × 0.054,0.054 × 0.030 × 0.054,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_e9b420218e.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Cookie_012.prefab,Food FREE - Low Poly 3D Models Pack
food_88152c02d7,음식·음료,크루아상 001,0.149 × 0.051 × 0.078,0.149 × 0.051 × 0.078,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_88152c02d7.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Croissant_001.prefab,Food FREE - Low Poly 3D Models Pack
food_e5c32f8a16,음식·음료,도넛 002,0.107 × 0.036 × 0.106,0.107 × 0.036 × 0.106,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_e5c32f8a16.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Donut_002.prefab,Food FREE - Low Poly 3D Models Pack
food_0be715e6ec,음식·음료,달걀 001,0.063 × 0.046 × 0.063,0.063 × 0.046 × 0.063,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_0be715e6ec.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Egg_001.prefab,Food FREE - Low Poly 3D Models Pack
food_b58977b3bd,음식·음료,달걀 002,0.063 × 0.084 × 0.063,0.063 × 0.084 × 0.063,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_b58977b3bd.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Egg_002.prefab,Food FREE - Low Poly 3D Models Pack
food_b177fe8716,음식·음료,달걀 003,0.063 × 0.044 × 0.085,0.063 × 0.044 × 0.085,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_b177fe8716.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Egg_003.prefab,Food FREE - Low Poly 3D Models Pack
food_f996699c96,음식·음료,달걀 004,0.161 × 0.021 × 0.154,0.161 × 0.021 × 0.154,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_f996699c96.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Egg_004.prefab,Food FREE - Low Poly 3D Models Pack
food_fe2c19f290,음식·음료,생선 004,0.075 × 0.038 × 0.145,0.075 × 0.038 × 0.145,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_fe2c19f290.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Fish_004.prefab,Food FREE - Low Poly 3D Models Pack
food_eca88b863f,음식·음료,아이스크림 001,0.072 × 0.162 × 0.072,0.072 × 0.162 × 0.072,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_eca88b863f.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Ice_cream_001.prefab,Food FREE - Low Poly 3D Models Pack
food_28dff52790,음식·음료,아이스크림 003,0.066 × 0.184 × 0.025,0.066 × 0.184 × 0.025,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_28dff52790.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Ice_cream_003.prefab,Food FREE - Low Poly 3D Models Pack
food_7e531ac46a,음식·음료,버섯 002,0.063 × 0.068 × 0.063,0.063 × 0.068 × 0.063,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_7e531ac46a.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Mushroom_002.prefab,Food FREE - Low Poly 3D Models Pack
food_40e5f17ca9,음식·음료,버섯 004,0.063 × 0.068 × 0.032,0.063 × 0.068 × 0.032,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_40e5f17ca9.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Mushroom_004.prefab,Food FREE - Low Poly 3D Models Pack
food_f5e9d54d57,음식·음료,버섯 006,0.064 × 0.007 × 0.071,0.064 × 0.007 × 0.071,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_f5e9d54d57.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Mushroom_006.prefab,Food FREE - Low Poly 3D Models Pack
food_908c0c140e,음식·음료,양파 001,0.078 × 0.151 × 0.078,0.078 × 0.151 × 0.078,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_908c0c140e.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Onion_001.prefab,Food FREE - Low Poly 3D Models Pack
food_a1eb11120b,음식·음료,양파 003,0.078 × 0.046 × 0.149,0.078 × 0.046 × 0.149,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_a1eb11120b.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Onion_003.prefab,Food FREE - Low Poly 3D Models Pack
food_a59581ae84,음식·음료,페이스트리 002,0.042 × 0.069 × 0.094,0.042 × 0.069 × 0.094,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_a59581ae84.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Pastry_002.prefab,Food FREE - Low Poly 3D Models Pack
food_bd94dbf084,음식·음료,피망 003,0.091 × 0.122 × 0.091,0.091 × 0.122 × 0.091,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_bd94dbf084.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Pepper_003.prefab,Food FREE - Low Poly 3D Models Pack
food_05ebee7280,음식·음료,샌드위치 001,0.129 × 0.046 × 0.142,0.129 × 0.046 × 0.142,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_05ebee7280.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Sandwich_001.prefab,Food FREE - Low Poly 3D Models Pack
food_409425a164,음식·음료,샌드위치 002,0.142 × 0.023 × 0.148,0.142 × 0.023 × 0.148,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_409425a164.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Sandwich_002.prefab,Food FREE - Low Poly 3D Models Pack
food_499bee0cf2,음식·음료,샌드위치 003,0.130 × 0.017 × 0.142,0.130 × 0.017 × 0.142,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_499bee0cf2.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Sandwich_003.prefab,Food FREE - Low Poly 3D Models Pack
food_688aee9b0f,음식·음료,소시지 003,0.062 × 0.065 × 0.190,0.062 × 0.065 × 0.190,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_688aee9b0f.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Sasuage_003.prefab,Food FREE - Low Poly 3D Models Pack
food_ab88e3ce1e,음식·음료,새우 001,0.031 × 0.069 × 0.134,0.031 × 0.069 × 0.134,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_ab88e3ce1e.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Shrimp_001.prefab,Food FREE - Low Poly 3D Models Pack
food_9f63405507,음식·음료,새우 002,0.069 × 0.027 × 0.047,0.069 × 0.027 × 0.047,1.0,,Assets/_Game/Content/ItemCollection/Prefabs/food/food_9f63405507.prefab,Assets/ItemSources/Food_FREE_Low_Poly_3D_Models_Pack/ithappy/Food_Free/Prefabs/Shrimp_002.prefab,Food FREE - Low Poly 3D Models Pack
